store_id,item_id,cluster,cluster_label,average_demand,demand_variability,coefficient_of_variation,forecast_error,absolute_forecast_error,forecast_demand,recommended_stock
store_11,item_4,0,Permintaan Rendah,19.36,5.58,0.2881,-3.17,3.89,22.54,42
store_11,item_40,1,Permintaan Tinggi,34.56,8.08,0.2339,12.83,12.83,21.73,42
store_11,item_41,0,Permintaan Rendah,26.22,6.76,0.2578,1.41,2.97,24.81,45
store_11,item_42,0,Permintaan Rendah,27.98,7.37,0.2633,4.37,4.71,23.61,43
store_11,item_43,0,Permintaan Rendah,25.28,6.65,0.263,1.98,2.85,23.3,43
store_11,item_44,0,Permintaan Rendah,11.5,4.03,0.3505,-14.14,14.14,25.64,45
store_11,item_45,1,Permintaan Tinggi,29.12,7.67,0.2634,7.1,7.14,22.02,42
store_11,item_46,0,Permintaan Rendah,14.16,4.41,0.311,-8.16,8.18,22.33,42
store_11,item_47,1,Permintaan Tinggi,40.66,10.61,0.2609,16.73,16.73,23.93,44
store_11,item_48,0,Permintaan Rendah,13.27,4.21,0.3175,-5.37,5.56,18.64,38
store_11,item_49,0,Permintaan Rendah,16.85,5.39,0.3197,-8.67,8.7,25.52,45
store_11,item_5,1,Permintaan Tinggi,36.96,8.53,0.2309,15.87,15.87,21.09,41
store_11,item_50,0,Permintaan Rendah,12.22,3.92,0.3209,-12.25,12.25,24.47,44
store_11,item_6,0,Permintaan Rendah,22.59,6.43,0.2845,-3.75,4.24,26.34,46
store_11,item_7,0,Permintaan Rendah,19.58,5.5,0.2812,-5.12,5.26,24.7,45
store_11,item_8,0,Permintaan Rendah,28.17,7.47,0.2653,5.63,5.83,22.53,42
store_11,item_9,0,Permintaan Rendah,14.93,4.28,0.2864,-6.98,7.0,21.91,42
store_12,item_1,1,Permintaan Tinggi,49.96,10.91,0.2185,21.62,21.62,28.33,48
store_12,item_10,1,Permintaan Tinggi,43.7,10.77,0.2464,17.09,17.09,26.61,46
store_12,item_11,0,Permintaan Rendah,16.04,4.66,0.2903,-7.36,7.39,23.4,43
store_12,item_12,1,Permintaan Tinggi,42.24,9.94,0.2353,16.74,16.74,25.5,45
store_12,item_13,1,Permintaan Tinggi,51.59,12.9,0.25,24.71,24.71,26.87,47
store_12,item_14,1,Permintaan Tinggi,42.48,10.04,0.2364,17.68,17.68,24.8,45
store_12,item_15,0,Permintaan Rendah,20.77,5.57,0.2684,-0.47,2.71,21.23,41
store_12,item_16,0,Permintaan Rendah,12.75,4.35,0.3413,-10.5,10.5,23.25,43
store_12,item_17,1,Permintaan Tinggi,43.88,9.89,0.2255,20.21,20.21,23.67,44
store_12,item_18,1,Permintaan Tinggi,41.1,10.61,0.2582,16.03,16.03,25.07,45
store_12,item_19,1,Permintaan Tinggi,40.91,9.27,0.2266,19.12,19.12,21.79,42
store_12,item_2,0,Permintaan Rendah,25.49,6.24,0.2449,-0.82,2.72,26.31,46
store_12,item_20,1,Permintaan Tinggi,42.12,10.33,0.2453,18.9,18.9,23.22,43
store_12,item_21,0,Permintaan Rendah,15.95,4.72,0.296,-5.82,6.02,21.76,42
store_12,item_22,0,Permintaan Rendah,26.35,6.89,0.2616,4.0,4.47,22.35,42
store_12,item_23,1,Permintaan Tinggi,49.92,11.98,0.2399,24.35,24.35,25.58,45
store_12,item_24,0,Permintaan Rendah,17.69,5.43,0.3072,-6.13,6.21,23.82,44
store_12,item_25,1,Permintaan Tinggi,46.31,11.09,0.2395,19.01,19.01,27.3,47
store_12,item_26,1,Permintaan Tinggi,37.03,9.36,0.2529,15.98,15.98,21.05,41
store_12,item_27,0,Permintaan Rendah,25.05,6.6,0.2637,-0.26,2.91,25.31,45
store_12,item_28,0,Permintaan Rendah,15.56,4.53,0.2913,-9.79,9.8,25.35,45
store_12,item_29,0,Permintaan Rendah,25.43,6.81,0.2677,5.45,5.58,19.98,40
store_12,item_3,0,Permintaan Rendah,27.03,6.92,0.2561,1.65,3.03,25.38,45
store_12,item_30,0,Permintaan Rendah,25.32,6.76,0.2671,3.18,4.06,22.14,42
store_12,item_31,1,Permintaan Tinggi,40.76,9.23,0.2265,14.95,14.95,25.81,46
store_12,item_32,1,Permintaan Tinggi,37.72,9.64,0.2555,10.96,10.96,26.76,47
store_12,item_33,1,Permintaan Tinggi,46.72,11.76,0.2517,24.55,24.55,22.17,42
store_12,item_34,1,Permintaan Tinggi,47.74,11.61,0.2431,23.53,23.53,24.21,44
store_12,item_35,1,Permintaan Tinggi,31.59,8.16,0.2585,8.17,8.18,23.42,43
store_12,item_36,0,Permintaan Rendah,17.81,5.28,0.2965,-8.82,8.86,26.63,46
store_12,item_37,1,Permintaan Tinggi,40.61,11.35,0.2794,12.95,12.95,27.66,48
store_12,item_38,1,Permintaan Tinggi,42.39,10.51,0.248,19.79,19.79,22.6,42
store_12,item_39,1,Permintaan Tinggi,34.44,8.09,0.2348,14.87,14.87,19.57,39
store_12,item_4,0,Permintaan Rendah,22.69,5.72,0.2521,-2.32,3.07,25.01,45
store_12,item_40,1,Permintaan Tinggi,42.09,10.22,0.2428,15.56,15.56,26.52,46
store_12,item_41,1,Permintaan Tinggi,31.65,7.84,0.2478,6.7,6.72,24.94,45
store_12,item_42,1,Permintaan Tinggi,32.86,7.9,0.2404,6.02,6.15,26.85,47
store_12,item_43,1,Permintaan Tinggi,29.6,7.16,0.242,4.17,4.51,25.44,45
store_12,item_44,0,Permintaan Rendah,14.35,4.43,0.3086,-5.87,6.02,20.22,40
store_12,item_45,1,Permintaan Tinggi,37.24,8.85,0.2376,8.44,8.45,28.8,49
store_12,item_46,0,Permintaan Rendah,16.43,4.72,0.287,-6.79,6.8,23.23,43
store_12,item_47,1,Permintaan Tinggi,47.95,11.41,0.238,25.48,25.48,22.46,42
store_12,item_48,0,Permintaan Rendah,16.57,4.59,0.2771,-3.99,4.49,20.56,40
store_12,item_49,0,Permintaan Rendah,20.76,5.88,0.2832,-4.9,5.05,25.66,46
store_12,item_5,1,Permintaan Tinggi,44.65,10.51,0.2354,19.83,19.83,24.82,45
store_12,item_50,0,Permintaan Rendah,15.12,4.52,0.2988,-10.15,10.15,25.27,45
store_12,item_6,0,Permintaan Rendah,26.22,7.05,0.2687,3.04,3.59,23.18,43
store_12,item_7,0,Permintaan Rendah,24.03,6.12,0.2546,-3.16,3.71,27.19,47
store_12,item_8,1,Permintaan Tinggi,34.08,8.61,0.2525,9.58,9.58,24.5,44
store_12,item_9,0,Permintaan Rendah,18.48,5.37,0.2907,-5.0,5.21,23.48,43
store_13,item_1,1,Permintaan Tinggi,38.98,10.52,0.2699,12.76,12.76,26.21,46
store_13,item_10,1,Permintaan Tinggi,33.88,8.69,0.2565,11.91,11.91,21.96,42
store_13,item_11,0,Permintaan Rendah,11.67,3.88,0.3323,-12.2,12.2,23.88,44
store_13,item_12,1,Permintaan Tinggi,32.85,8.05,0.2451,8.05,8.08,24.81,45
store_13,item_13,1,Permintaan Tinggi,39.64,10.55,0.2661,11.2,11.2,28.44,48
store_13,item_14,1,Permintaan Tinggi,33.92,8.31,0.2451,9.07,9.11,24.85,45
store_13,item_15,0,Permintaan Rendah,15.77,4.69,0.2972,-4.47,4.81,20.23,40
store_13,item_16,0,Permintaan Rendah,10.15,3.41,0.3359,-13.13,13.13,23.28,43
store_13,item_17,1,Permintaan Tinggi,34.5,9.24,0.2678,8.74,8.74,25.76,46
store_13,item_18,1,Permintaan Tinggi,31.58,9.24,0.2926,8.47,8.47,23.11,43
store_13,item_19,1,Permintaan Tinggi,31.42,7.8,0.2481,7.51,7.52,23.91,44
store_13,item_2,0,Permintaan Rendah,20.04,5.76,0.2876,-4.79,4.96,24.83,45
store_13,item_20,1,Permintaan Tinggi,33.07,8.88,0.2686,13.04,13.04,20.03,40
store_13,item_21,0,Permintaan Rendah,12.35,3.92,0.3173,-9.58,9.58,21.93,42
store_13,item_22,0,Permintaan Rendah,20.45,5.33,0.2606,-3.87,4.34,24.32,44
store_13,item_23,1,Permintaan Tinggi,37.84,8.81,0.2328,16.36,16.36,21.48,41
store_13,item_24,0,Permintaan Rendah,13.38,4.29,0.3204,-5.31,5.53,18.69,39
store_13,item_25,1,Permintaan Tinggi,36.02,9.12,0.2532,9.98,9.98,26.04,46
store_13,item_26,1,Permintaan Tinggi,28.34,6.54,0.2309,4.28,4.59,24.05,44
store_13,item_27,0,Permintaan Rendah,19.6,5.11,0.2608,-3.33,3.77,22.93,43
store_13,item_28,0,Permintaan Rendah,12.3,4.11,0.334,-14.41,14.41,26.71,47
store_13,item_29,0,Permintaan Rendah,19.73,5.68,0.288,-4.09,4.29,23.82,44
store_13,item_3,0,Permintaan Rendah,21.31,5.14,0.2411,-1.62,2.75,22.93,43
store_13,item_30,0,Permintaan Rendah,19.75,5.48,0.2774,-5.15,5.28,24.9,45
store_13,item_31,1,Permintaan Tinggi,32.05,8.03,0.2505,6.27,6.33,25.78,46
store_13,item_32,1,Permintaan Tinggi,28.52,7.68,0.2694,4.81,5.08,23.71,44
store_13,item_33,1,Permintaan Tinggi,36.52,8.53,0.2337,11.27,11.28,25.25,45
store_13,item_34,1,Permintaan Tinggi,38.1,9.86,0.2589,12.43,12.43,25.67,46
store_13,item_35,0,Permintaan Rendah,24.96,6.65,0.2664,1.19,3.04,23.77,44
store_13,item_36,0,Permintaan Rendah,13.26,4.01,0.3024,-10.7,10.7,23.95,44
store_13,item_37,1,Permintaan Tinggi,31.43,7.21,0.2293,11.49,11.49,19.94,40
store_13,item_38,1,Permintaan Tinggi,33.29,8.99,0.2702,7.43,7.48,25.87,46
store_13,item_39,0,Permintaan Rendah,27.36,7.28,0.2659,3.06,3.66,24.31,44
store_13,item_4,0,Permintaan Rendah,17.97,5.15,0.2863,-5.6,5.72,23.57,43
store_13,item_40,1,Permintaan Tinggi,33.38,7.9,0.2368,9.66,9.68,23.72,44
store_13,item_41,0,Permintaan Rendah,24.45,6.28,0.2567,1.45,2.73,23.0,43
store_13,item_42,0,Permintaan Rendah,25.6,6.31,0.2466,3.36,3.68,22.24,42
store_13,item_43,0,Permintaan Rendah,23.07,6.16,0.267,-1.77,2.92,24.84,45
store_13,item_44,0,Permintaan Rendah,10.47,3.97,0.3794,-10.26,10.26,20.74,41
store_13,item_45,1,Permintaan Tinggi,27.74,7.25,0.2614,1.48,2.98,26.26,46
store_13,item_46,0,Permintaan Rendah,13.58,4.63,0.3412,-11.47,11.47,25.06,45
store_13,item_47,1,Permintaan Tinggi,37.93,9.89,0.2607,11.65,11.65,26.28,46
store_13,item_48,0,Permintaan Rendah,12.42,4.24,0.3412,-11.11,11.11,23.53,43
store_13,item_49,0,Permintaan Rendah,15.86,4.95,0.3124,-3.29,3.81,19.15,39
store_13,item_5,1,Permintaan Tinggi,34.11,8.01,0.2349,10.15,10.15,23.96,44
store_13,item_50,0,Permintaan Rendah,11.08,3.87,0.3493,-10.65,10.69,21.73,42
store_13,item_6,0,Permintaan Rendah,20.97,5.81,0.277,-6.37,6.45,27.34,47
store_13,item_7,0,Permintaan Rendah,18.51,5.19,0.2806,-6.36,6.37,24.87,45
store_13,item_8,0,Permintaan Rendah,26.48,6.58,0.2485,1.84,3.21,24.64,44
store_13,item_9,0,Permintaan Rendah,13.95,4.24,0.304,-6.04,6.11,19.98,40
store_14,item_1,1,Permintaan Tinggi,45.21,11.64,0.2574,19.96,19.96,25.25,45
store_14,item_10,1,Permintaan Tinggi,38.46,9.52,0.2476,16.76,16.76,21.7,42
store_14,item_11,0,Permintaan Rendah,13.83,4.38,0.3167,-7.12,7.16,20.95,41
store_14,item_12,1,Permintaan Tinggi,38.18,9.03,0.2366,13.15,13.15,25.02,45
store_14,item_13,1,Permintaan Tinggi,46.74,12.77,0.2731,21.25,21.25,25.5,45
store_14,item_14,1,Permintaan Tinggi,37.95,9.12,0.2403,15.0,15.0,22.95,43
store_14,item_15,0,Permintaan Rendah,18.32,5.53,0.302,-2.84,3.63,21.15,41
store_14,item_16,0,Permintaan Rendah,11.86,4.16,0.3505,-16.91,16.91,28.78,49
store_14,item_17,1,Permintaan Tinggi,38.95,9.65,0.2478,18.0,18.0,20.95,41
store_14,item_18,1,Permintaan Tinggi,35.27,8.58,0.2432,9.94,9.96,25.33,45
store_14,item_19,1,Permintaan Tinggi,36.65,8.61,0.2348,14.09,14.09,22.56,42
store_14,item_2,0,Permintaan Rendah,22.22,5.45,0.2453,0.46,2.42,21.76,42
store_14,item_20,1,Permintaan Tinggi,38.03,9.46,0.2488,11.79,11.8,26.24,46
store_14,item_21,0,Permintaan Rendah,13.71,4.6,0.3357,-9.03,9.05,22.74,43
store_14,item_22,0,Permintaan Rendah,23.79,6.47,0.272,3.05,3.61,20.74,41
store_14,item_23,1,Permintaan Tinggi,42.99,9.24,0.2149,18.04,18.04,24.96,45
store_14,item_24,0,Permintaan Rendah,15.16,4.65,0.3065,-4.11,4.54,19.27,39
store_14,item_25,1,Permintaan Tinggi,41.03,9.81,0.2392,16.28,16.28,24.74,45
store_14,item_26,1,Permintaan Tinggi,32.68,8.46,0.2589,7.37,7.41,25.31,45
store_14,item_27,0,Permintaan Rendah,22.7,5.93,0.2612,-1.88,3.03,24.58,44
store_14,item_28,0,Permintaan Rendah,13.54,4.69,0.3461,-11.45,11.45,24.99,45
store_14,item_29,0,Permintaan Rendah,22.16,6.19,0.2795,-2.22,3.13,24.37,44
store_14,item_3,0,Permintaan Rendah,24.59,5.97,0.2429,-0.54,2.72,25.13,45
store_14,item_30,0,Permintaan Rendah,22.57,5.82,0.2578,0.68,2.58,21.88,42
store_14,item_31,1,Permintaan Tinggi,36.11,8.66,0.2397,12.82,12.82,23.29,43
store_14,item_32,1,Permintaan Tinggi,32.42,7.52,0.2319,8.4,8.44,24.02,44
store_14,item_33,1,Permintaan Tinggi,42.25,10.05,0.2379,16.34,16.34,25.91,46
store_14,item_34,1,Permintaan Tinggi,42.32,10.73,0.2534,17.35,17.35,24.97,45
store_14,item_35,0,Permintaan Rendah,27.6,7.93,0.2874,3.05,3.73,24.55,44
store_14,item_36,0,Permintaan Rendah,15.7,5.27,0.3358,-4.71,4.98,20.41,40
store_14,item_37,1,Permintaan Tinggi,36.12,9.04,0.2502,11.86,11.86,24.26,44
store_14,item_38,1,Permintaan Tinggi,36.43,8.01,0.2198,12.24,12.24,24.19,44
store_14,item_39,1,Permintaan Tinggi,31.15,7.9,0.2537,6.88,6.91,24.27,44
store_14,item_4,0,Permintaan Rendah,20.15,5.14,0.2553,-2.98,3.59,23.12,43
store_14,item_40,1,Permintaan Tinggi,37.86,9.2,0.243,14.06,14.06,23.8,44
store_14,item_41,1,Permintaan Tinggi,27.9,6.6,0.2367,4.61,4.75,23.29,43
store_14,item_42,1,Permintaan Tinggi,29.4,8.28,0.2815,3.07,3.8,26.33,46
store_14,item_43,0,Permintaan Rendah,25.7,6.9,0.2685,-0.23,2.39,25.93,46
store_14,item_44,0,Permintaan Rendah,12.54,4.3,0.343,-7.21,7.28,19.75,40
store_14,item_45,1,Permintaan Tinggi,31.64,7.4,0.2339,5.78,5.82,25.86,46
