date,actual_sales,predicted_sales
2023-10-30,60497,51861.12045511916
2023-10-31,70326,59944.20850801906
2023-11-01,73318,69063.2471682091
2023-11-02,66806,62577.276772523364
2023-11-03,56144,52743.32315807479
2023-11-04,49527,46489.963076534
2023-11-05,52412,48671.99517348999
2023-11-06,62229,57561.706978234935
2023-11-07,72144,66925.59449227672
2023-11-08,74642,68541.1825130593
2023-11-09,68055,61977.89081230073
2023-11-10,57834,53114.39525675586
2023-11-11,50782,46312.44514228777
2023-11-12,53915,48659.578875385254
2023-11-13,64095,57618.643308195686
2023-11-14,74794,67029.49319824122
2023-11-15,77541,68946.0081749756
2023-11-16,70987,62573.64063861386
2023-11-17,59727,52699.74694443104
2023-11-18,52995,46657.454179119515
2023-11-19,55660,48524.46840966353
2023-11-20,66188,57660.005085504454
2023-11-21,77557,66999.70504409347
2023-11-22,80498,68894.70496525332
2023-11-23,73363,62474.449755185
2023-11-24,62098,52872.57380609601
2023-11-25,55069,46824.05428774557
2023-11-26,57545,48660.00051149435
2023-11-27,68539,57463.46812751129
2023-11-28,80274,66775.91884614046
2023-11-29,83050,68777.85671596168
2023-11-30,76011,62488.67338349727
2023-12-01,64028,61400.98950891157
2023-12-02,57203,54979.47217993074
2023-12-03,59964,56622.23197471957
2023-12-04,71806,67955.61771711499
2023-12-05,83258,77857.82845218775
2023-12-06,86467,80364.49939902026
2023-12-07,78606,73878.43748055115
2023-12-08,66966,61445.26805741987
2023-12-09,59256,54759.25193567106
2023-12-10,62438,56817.02194446674
2023-12-11,73870,67802.48985190752
2023-12-12,87085,78045.72017173552
2023-12-13,90231,80574.00568767005
2023-12-14,82182,74191.36924784076
2023-12-15,70063,62022.72041323803
2023-12-16,61000,54453.419369518364
2023-12-17,64740,56746.73855038673
2023-12-18,77349,68032.78944475399
2023-12-19,89970,77628.25596293477
2023-12-20,93491,80135.73244061542
2023-12-21,85338,74319.71518540746
2023-12-22,72341,61581.91699510605
2023-12-23,63737,54712.20699982327
2023-12-24,67263,56843.709588049096
2023-12-25,80375,67736.59007182134
2023-12-26,93568,77675.77980087676
2023-12-27,97603,80638.40108973658
2023-12-28,88506,74059.12700208163
2023-12-29,74957,61466.66834375815
2023-12-30,66218,54769.03357461675
2023-12-31,70053,56712.84072765666
